5,0,left,10,10,5,5,5,5,5,5,5,5,5,5
5,2,left,11,0,0,6,6,6,6,0,6,6,6,6
4,0,left,0,2,0,9,0,8,8,2,1,8,0,0
3,0,left,1,0,1,10,1,0,9,0,2,9,1,1
1,0,left,3,1,1,11,2,1,10,1,0,0,0,0
1,2,right,4,2,2,12,3,2,0,1,1,1,1,1
1,3,right,0,4,0,0,1,0,2,1,0,1,3,0
1,0,left,1,4,1,0,0,0,0,1,0,1,0,1
1,1,left,2,5,0,0,0,0,0,0,1,0,1,0
3,0,right,2,5,0,0,0,0,0,1,0,0,1,0
2,0,left,10,10,5,5,5,5,5,5,5,5,5,5
5,2,left,11,0,0,6,6,6,6,0,6,6,6,6
5,0,left,0,2,0,9,0,8,8,2,1,8,0,0
1,0,left,1,0,1,10,1,0,9,0,2,9,1,1
3,0,left,3,1,1,11,2,1,10,1,0,0,0,0
1,2,right,4,2,2,12,3,2,0,1,1,1,1,1
1,3,right,0,4,0,0,1,0,2,1,0,1,3,0
5,0,right,1,4,1,0,0,0,0,1,0,1,0,1
3,0,right,1,4,0,1,0,0,0,1,0,1,0,1
2,0,right,2,4,0,0,0,0,0,0,1,0,1,0
3,0,left,10,10,5,5,5,5,5,5,5,5,5,5
5,2,left,11,0,0,6,6,6,6,0,6,6,6,6
4,0,left,0,2,0,9,0,8,8,2,1,8,0,0
2,0,left,1,0,1,10,1,0,9,0,2,9,1,1
2,0,left,3,1,1,11,2,1,10,1,0,0,0,0
4,2,right,4,2,2,12,3,2,0,1,1,1,1,1
4,3,right,0,4,0,0,1,0,2,1,0,1,3,0
1,0,left,1,4,1,0,0,0,0,1,0,1,0,1
5,1,left,2,5,0,0,0,0,0,0,1,0,1,0
1,0,right,2,5,0,0,0,0,0,1,0,0,1,0
3,0,left,10,10,5,5,5,5,5,5,5,5,5,5
4,2,left,11,0,0,6,6,6,6,0,6,6,6,6
5,0,left,0,2,0,9,0,8,8,2,1,8,0,0
5,0,left,1,0,1,10,1,0,9,0,2,9,1,1
4,0,left,3,1,1,11,2,1,10,1,0,0,0,0
1,2,right,4,2,2,12,3,2,0,1,1,1,1,1
4,3,right,0,4,0,0,1,0,2,1,0,1,3,0
3,0,right,1,4,1,0,0,0,0,1,0,1,0,1
1,0,right,1,4,0,1,0,0,0,1,0,1,0,1
3,0,right,2,4,0,0,0,0,0,0,1,0,1,0
5,0,left,10,10,5,5,5,5,5,5,5,5,5,5
5,2,left,11,0,0,6,6,6,6,0,6,6,6,6
4,0,left,0,2,0,9,0,8,8,2,1,8,0,0
3,0,left,1,0,1,10,1,0,9,0,2,9,1,1
4,0,left,3,1,1,11,2,1,10,1,0,0,0,0
4,2,right,4,2,2,12,3,2,0,1,1,1,1,1
3,3,right,0,4,0,0,1,0,2,1,0,1,3,0
3,0,right,1,4,1,0,0,0,0,1,0,1,0,1
2,0,right,1,4,0,1,0,0,0,1,0,1,0,1
4,0,right,2,4,0,0,0,0,0,0,1,0,1,0
3,0,left,10,10,5,5,5,5,5,5,5,5,5,5
5,2,left,11,0,0,6,6,6,6,0,6,6,6,6
1,0,left,0,2,0,9,0,8,8,2,1,8,0,0
5,0,left,1,0,1,10,1,0,9,0,2,9,1,1
4,0,left,3,1,1,11,2,1,10,1,0,0,0,0
3,2,right,4,2,2,12,3,2,0,1,1,1,1,1
2,3,right,0,4,0,0,1,0,2,1,0,1,3,0
3,0,right,1,4,1,0,0,0,0,1,0,1,0,1
5,0,right,1,4,0,1,0,0,0,1,0,1,0,1
4,0,right,2,4,0,0,0,0,0,0,1,0,1,0
3,0,left,10,10,5,5,5,5,5,5,5,5,5,5
1,2,left,11,0,0,6,6,6,6,0,6,6,6,6
1,0,left,0,2,0,9,0,8,8,2,1,8,0,0
4,0,left,1,0,1,10,1,0,9,0,2,9,1,1
1,0,left,3,1,1,11,2,1,10,1,0,0,0,0
2,2,right,4,2,2,12,3,2,0,1,1,1,1,1
3,3,right,0,4,0,0,1,0,2,1,0,1,3,0
2,0,left,1,4,1,0,0,0,0,1,0,1,0,1
4,1,left,2,5,0,0,0,0,0,0,1,0,1,0
2,0,right,2,5,0,0,0,0,0,1,0,0,1,0
2,0,left,10,10,5,5,5,5,5,5,5,5,5,5
3,2,left,11,0,0,6,6,6,6,0,6,6,6,6
2,0,left,0,2,0,9,0,8,8,2,1,8,0,0
2,0,left,1,0,1,10,1,0,9,0,2,9,1,1
4,0,left,3,1,1,11,2,1,10,1,0,0,0,0
1,2,right,4,2,2,12,3,2,0,1,1,1,1,1
